id,name,sku,variable
1,ACTINOLITE,ACT,
2,AEGIRINE,AEG,
3,AGATE,AGT,
4,"AGATE, BAMBOO LEAF",AGT,BMLF
5,"AGATE, BLUE",AGT,BLU
6,"AGATE, BLUE LACE",AGT,BLCE
7,"AGATE, CHEETAH",AGT,CTA
8,"AGATE, CHERRY BLOSSOM",AGT,CHYBLM
9,"AGATE, CRAZY LACE",AGT,CRZLCE
10,"AGATE, DENDRITIC",AGT,DEND
11,"AGATE, FANCY",AGT,FNCY
12,"AGATE, FIRE",AGT,FRE
13,"AGATE, FLOWER ",AGT,FLW
14,"AGATE, IRIS",AGT,IRS
15,"AGATE, LAGUNA",AGT,LAG
16,"AGATE, MOOKAITE",AGT,MOK
17,"AGATE, MOSS",AGT,MSS
18,"AGATE, PATAGONIAN",AGT,PAT
19,"AGATE, PINK",AGT,PNK
20,"AGATE, PINK MOSS",AGT,PNKMS
21,"AGATE, SEIBER",AGT,SBR
22,"AGATE, TREE ",AGT,TRE
23,"AGATE, TURITELLA",AGT,TRTLA
24,"AGATE, VIOLET FLAME",AGT,VLTFLM
25,"AGATE, WHITE",AGT,WHT
26,AGATIZED CORAL,CRL,AGTZ
27,AMAZONITE,AMZ,
28,"AMAZONITE, BLUE",AMZ,BLU
29,"AMAZONITE, GREEN",AMZ,GRN
30,"AMAZONITE, YELLOW",AMZ,YLW
31,AMBER,AMB,
32,AMETHYST,AMT,
33,"AMETHYST, BANDED",AMT,BNDD
34,"AMETHYST, CHEVRON",AMT,CHV
35,"AMETHYST, DREAM",AMT,DRM
36,"AMETHYST, GREEN (PRASIOLITE)",AMT,GRN
37,"AMETHYST, PINK",AMT,PNK
38,"AMETHYST, PURPLE RAIN",AMT,PRP
39,"AMETHYST, SHANGAAN",AMT,SHN
40,"AMETHYST, VERA CRUZ ",AMT,VERCRZ
41,"AMETHYST, ZEBRA",AMT,ZBR
42,AMMONITE ,AMM,
43,AMORINITE,AMRNT,
44,ANCESTRALITE,ANS,
45,ANGEL,ANG,
46,ANGEL AURA,ANG,AUR
47,ANGELITE,ANGL,
48,"ANHYDRITE, PURPLE",ANH,PUR
49,ANTHOPHYLLITE WITH BIOTITE,ATHPLT,BITE
50,APATITE,APA,
51,"APATITE, BLUE",APA,BLU
52,"APATITE, GREEN",APA,GRN
53,"APATITE, YELLOW",APA,YLO
54,APOPHYLLITE,APO,
55,AQUAMARINE,AQA,
56,"ARAGONITE, BLUE",ARG,BLU
57,"ARAGONITE, BROWN",ARG,BRN
58,"ARAGONITE, PINK",ARG,PNK
59,"ARAGONITE, WHITE",ARG,WHT
60,ARFVEDSONITE,ARF,
61,ASSORTMENT,ASST,
62,ATLANTISITE (SERPENTINE AND STICHTITE),ATL,
63,"AURA, SODALITE",AUR,SDLT
64,AURALITE,AUR,
65,"AVENTURINE, BLUE",AVN,
66,"AVENTURINE, GOLDEN",AVN,GLDN
67,"AVENTURINE, GREEN",AVN,GRN
68,"AVENTURINE, GREEN/QUARTZ",AVN,GRNQTZ
69,"AVENTURINE, GREY",AVN,GRY
70,"AVENTURINE, HIMALAYAN RED GOLD",AVN,HMRG
71,"AVENTURINE, ORANGE",AVN,ORG
72,"AVENTURINE, PEACH",AVN,PCH
73,"AVENTURINE, RASPBERRY",AVN,RASPB
74,"AVENTURINE, RASPBERRY",AVE,
75,"AVENTURINE, RED",AVN,RED
76,"AVENTURINE, SILVER",AVN,SILV
77,"AVENTURINE, YELLOW",AVN,YLW
78,AXINITE,AXN,
79,AZEZTULITE,AZE,
80,AZURITE,AZU,
81,"AZURITE, LAVENDER",AZU,LAV
82,BARITE,BAR,
83,BERYL ,BRYL,
84,"BETA, BLACK",BET,BLK
85,BIRD STONE,BRDSTN,
86,BLOODSTONE,BLD,
87,"BLOODSTONE, AFRICAN",BLD,AFR
88,"BLOODSTONE, B",BLD,B
89,BRONZITE,BRZ,
90,BRONZITE,BRZT,
91,BROOKITE,BRK,
92,CABACHON,CAB,
93,"CACOXENITE, BLACK",CAX,BLK
94,CALCITE,CAL,
