"id","name","create_uid","create_date","write_uid","write_date","sku"
1,APPAREL,,,,,APPR
2,ACCESSORIES,,,,,ACCS
3,BATCH,,,,,BTCH
4,BATH & BODY,,,,,BTHB
5,BEEBOP,,,,,BBOP
6,BODY ART,,,,,BART
7,CANDLES,,,,,CNDL
8,CARVING,,,,,CARV
9,CLOTHING,,,,,CLTH
10,GEMSTONE SALE,,,,,GSS
11,GIFT WITH PURCHASE,,,,,GWP
12,GEMSTONES,,,,,GMS
13,HOME DECOR,,,,,HME
14,INCENSE,,,,,INS
15,JEWELRY,,,,,JEWL
16,KIT MISCELLANEOUS,,,,,KITMS
17,MEDIA,,,,,MEDA
18,MIST,,,,,MST
19,NATURAL STONES,,,,,NAT 
20,OFFICE SUPPLIES,,,,,OFFS
21,PACKAGING,,,,,PKG
22,PERFUMERY,,,,,PERF
23,POLISHED ,,,,,POLS
24,RAW MATERIAL,,,,,RAWM
25,SET (AKA Kits),,,,,SET
26,SPECIALTY TOOLS,,,,,STLS
27,TUMBLED STONES,,,,,TUM
28,WAREHOUSE,,,,,WHS
