id,name,sku
1,3 STONE,3STN
2,4 DIRECTIONS,4DRCTN
3,8 SIDED,8SDD
4,A,A
5,A/A-,A/A-
6,A/A+,A/A+
7,A/B,A/B
8,A+/AA,A+/AA
9,ABUNDANTIA,ABNDTA
10,ACCELERATED,ACCLR
11,ACORN,ACRN
12,ACRYLIC,ACRL
13,AFFIRMATION,AFFRM
14,AIR,AIR
15,ALTAR,ALTR
16,ALUMINUM MATERIAL,ALUM
17,AMA,AMA
18,ANGEL,ANGL
19,ANGEL HEART,ANGLHRT
20,ANGEL STAR,ANGLSTR
21,ANGEL WINGS,ANGLWNGS
22,ANGELOFOS CHARMS,ANGCHM
23,ANIMAL,ANML
24,ANNIVERSARY,ANNI
25,APOLLO,APLL
26,APRICOT,APRC
27,APRIL,APR
28,AQUA ,AQUA
29,AQUAMARINE SPARKLE,AQMRSPRKL
30,AQUARIUS,AQU
31,ARABIC,ARAB
32,ARBOR VITAE,ARB-VTA
33,ARES,ARS
34,ARIES,ARI
35,ARROWHEADS,ARRO
36,ASTRAEUS,ASTR
37,ATHAME,ATME
38,ATHENAS FAVE OUD,AOUD
39,ATHENAS REPLICA,ATHNA
40,ATTRACT,ATTR
41,AUGUST,AUG
42,AURA,AURA
43,AURA TREATED,AUR
44,"AURA TREATED, ANGEL",AAUR
45,"AURA TREATED, AQUA",AQAUR
46,"AURA TREATED, BLACK",BKAUR
47,"AURA TREATED, COPPER",CPRAUR
48,"AURA TREATED, DARK BLUE",DBLAUR
49,"AURA TREATED, LIGHT BLUE",LBLAUR
50,"AURA TREATED, ORANGE",ORAUR
51,"AURA TREATED, PINK",PKAUR
52,"AURA TREATED, PURPLE",PPAUR
53,"AURA TREATED, RAINBOW",RBAUR
54,"AURA TREATED, RED",RDAUR
55,"AURA TREATED, SUNSET",SAUR
56,"AURA TREATED, SUNSHINE",SHAUR
57,"AURA TREATED, TANGERINE",TAAUR
58,"AURA TREATED, TANZANITE",TNAUR
59,"AURA TREATED, TITANIUM",TIAUR
60,"AURA TREATED, YELLOW",YWAUR
61,AUTUMN,ATMN
62,BAMBOO,BMB
63,BASE,BAS
64,BEAD,BEAD
65,BEAN,BEAN
66,BEAUTY,BEAU
67,BEE,BEE
68,BEEBOP,BBOP
69,BEE HIVE,BEHV
70,BEGINNER,BGNR
71,"BELL, ALTER",ALTRBL
72,BELLS,BELL
73,BEZEL,BZEL
74,BLACK,BLK
75,BLACK CAP,BLKCAP
76,BLACK CORD,BLKCRD
77,BLENDING,BLDNG
78,BLISS,BLISS
79,BLUE,BLU
80,"BLUE, DARK",DKBLU
81,"BLUE, ELECTRIC",ELCBLU
82,BLUSH ROSE GOLD,BLSHROSEGLD
83,BONDED,BOND
84,BORDEAUX,BRDX
85,BOTTLE,BTL
86,BOWL,BWL
87,BOX WITH LOGO,BOXLOG
88,BRA STONE,BRST
89,BRACELET,BRAC
90,"BRAID, SWEETGRASS",SWTGR
91,BRASS MATERIAL,BRSS
92,BRICK RED,BRED
93,BRONZE,BRZ
94,BROWN,BWN
95,BROWN CORD,BWNCRD
96,BUBBLE GUM,BBLGM
97,BUCK,BCK
98,BUDDHA,BUDD
99,BULLET,BLT
100,BUNNY,BUN
101,BURGUNDY,BUR
102,BUTTERCUP,BTRCP
103,BUTTERFLY,BTRFLY
104,CABOCHON,CABO
105,CACTUS,CCTS
106,CALLIGRAPHY,CGRPHY
107,CANCER,CAN
108,CANDIES,CNDY
109,CANDLE HOLDER,CDLHLD
110,"CANDLE, ROLLED",CNDRLD
111,CAP ,CAP
112,CAPRICORN,CAP
113,CASE,CASE
114,CAT,CAT
115,CAT HEAD,CATHD
116,CATS EYE,CATEYE
117,CELLULITE,CELLT
118,CENTER,CNTR
119,CERAMIC MATERIAL,CERA
120,CHAKRA,CHK
121,CHAKRA STONE DUO,CHKDUO
122,"CHAKRA, EARTH STAR",ERTCHK
123,"CHAKRA, ROOT",RTCHK
124,"CHAKRA, SACRAL",SCRCHK
125,"CHAKRA, SEVEN ",7CHK
126,"CHAKRA, SOLAR PLEXUS",SLRCHK
127,"CHAKRA, SOUL STAR",SLSTCHK
128,"CHAKRA, THIRD EYE",3EYECHK
129,"CHAKRA, THROAT",THRCHK
130,CHAMPAGNE,CHMPG
131,CHARGE,CHRG
132,CHARGING PLATE,CHG-PLT
133,CHARM 1,CHRM1
134,CHARM 2,CHRM2
135,CHARM 3,CHRM3
136,CHARM 4,CHRM4
137,CHARTREUSE,CHRTRS
138,CHERRY,CHRY
139,CHINESE HOROSCOPE,CHHRSCP
140,CHIP STONE,CHP
141,"CHIP STONE, 4 OZ JAR",CHP4OZ
142,CHIPS ,CHIP
143,CHOCOLATE,CHOC
144,CHUMPIS,CHUM
145,CHUNK,CHNK
146,CIGARRETTE HOLDER,CIGG
147,CIRCLE,CRCL
148,CITIPATI,CITIP
149,CLAMP,CLAMP
150,CLEAR,CLR
151,CLEARING,CLEAR
152,CLOCK,CLCK
153,CLUSTER,CLS
154,CLUSTER CARVING,CLSCRV
155,COBRA,COBRA
156,COFFIN,COFF
157,CONSTELLATION,CONST
158,COPAL,COPL
159,COPPER MATERIAL,COPR
160,CORAL,CRL
161,CORD,CORD
162,CORNOLINE,CORNO
163,CORVID SKULL,CRVDSK
164,COVELITE,CVLT
165,ALIGNMENT,ALIGN
166,CRANBERRY,CRNBRY
167,CREATIVITY,CRTV
168,CRESCENT MOON,CRESMN
169,CROSS,CROS
170,CROWN CHAKRA,CRWCHK
171,CRYSTAL MASTER 2020,CM2020
172,CRYSTAL MASTER 2021,CM2021
173,CRYSTAL POINT,CYRSPT
174,CRYSTAL STONE,CRYS-STN
175,CRYSTAL,CRSTL
176,CUBE,CBE
177,CUFF,CFF
178,CUP,CUP
179,CUSTOM,CSTM
180,CYAN,CYAN
181,CYLINDER,CYL
182,DAY OF THE DEAD,DOTD
183,DEAD SEA,DSEA
184,DECEMBER,DEC
185,DEEPAK BURNER,DPKBRNR
186,DELUX,DLUX
187,DENDRITE,DNDT
188,"DESIGNS, 8",DSGN8
189,DEWI SRI,DWISRI
190,"DIAL, SUN",SUNDIA
191,DIAMOND,DMND
192,"DICE, DEITY",DEITDI
193,"DICE, RUNE",RUNEDI
194,DIE,DIE
195,DIFFUSER,DIFF
196,DISK,DSK
197,DODECAHEDRON,DDEC
198,DOG TOOTH,DGTTH
199,DOLPHIN,DLPN
200,DOUBLE HEX,DBLHX
201,DOUBLE SIDED POINT,DBL-SD-PNT
202,DOUBLE TWIST,DTWIST
203,DRAGON,DRAG
204,DRAGONFLY,DRGFLY
205,DRAGONSTONE,DGNSTN
206,DREAM,DRM
207,DREAM CATCHER ,DRMCTH
208,DROPPER,DRPPR
209,DRUZY,DRZ
210,DUO,DUO
211,DUO SET,DSET
212,DUST,DUST
213,EARTH,ERTH
214,EGG,EGGS
215,EGYPTIAN FIRE,EGYFIRE
216,ELECTRIC,ELCT
217,ELEMENT,ELMNT
218,ELVE(S),ELV
219,EMERALD,EMRD
220,EMPRESS,EMPRSS
221,EMBROIDERED,EMBRDED
222,ENCIRCLED,ENCRC
223,ENERGETIC EXTRACTOR,EEXT
224,ENERGY,NRG
225,ENGRAVED,ENGR
226,ENTWINED,ENTW
227,EPSOM SALT (MAGNESIUM SULFATE),EPSOM
228,ESSENTIAL HYDROSOLS,ESHYDRSLS
229,ETCHED,ETCH
230,ETHIOPIAN,ETH
231,EUROPEAN SPA SALT,EUROSPA
232,EUTHENIA,ETHNA
233,EX,EX
234,EYESHADOW,EYSHDW
235,FACE,FC
236,FACETED,FCTD
237,FAIRY,FAIR
238,FATIMA HAND,FTMAHND
239,FEATHER,FTHR
240,FEBRUARY,FEB
241,FEHU,FEHU
242,FEMININE FIRE,FEMFR
243,FERRULE,FERR
244,FIRE,FIRE
245,FIZZY LEMONADE,FZLMN
246,FLAME,FLME
247,FLAP,FLP
248,FLAT,FLT
249,FLOWER,FLWR
250,FLOWER OF LIFE,FLWRLF
251,FLUORESCENT,FLSCT
252,FLYING,FLYN
253,FOCUS,FOC
254,FRANKINCENSE,FRNK
255,FREE FORM,FREFRM
256,FRENCH,FR
257,FRIDA,FRD
258,FROSTED,FRSTD
259,"FUCHSIA, FIRED UP",FCHS
260,FULL MOON,FLMN
261,FUMITORY,FMTRY
262,FUNKY TOWN,FNK-TWN
263,GABBRO,GBBR
264,GAME,GM
265,GANESHA,GNSH
266,GAZER,GZR
267,GEMINI,GEM
268,GEMSTONE,GEM
269,GEMSTONE BOWL,GBOW
270,GEMSTONE BOX,GBOX
271,GEMSTONE CUPS,GCUP
272,GEMSTONE INFUSED,GMSFUS
273,GEMSTONE SET,GSTN
274,GEMSTONE TEA LIGHT HOLDER,GTLGT
275,GENERATOR,GEN
276,"GENERATOR, NATURAL-SIDED",NATGEN
277,GEODE,GEO
278,GHOST,GHST
279,GLASS MATERIAL,GLSS
280,GLASS/METAL MATERIAL,GLSMET
281,GLITTER,GLTR
282,"GOD OF LUCK, BENZAITEN",BENZ
283,"GOD OF LUCK, BISHAMONTEN",BISH
284,"GOD OF LUCK, DAIKOKUTEN",DAIK
285,"GOD OF LUCK, HOTEI",HOTE
286,"GOD OF LUCK, JUROJIN",JURO
287,GODDESS,GDDSS
288,GODDESS LAKSHMI,GDSLKM
289,GODDESS ORACLE,GDSORCL
290,GOLD,GLD
291,GOLD LEAF,GLF
292,GOLDEN,GLDN
293,GRACE,GRC
294,GRANULATED,GRNL
295,GRAPE,GRP
296,GRAPE JELLY,GRPJL
297,GREEN,GRN
298,GREEN,GRN
299,"GREEN, EMERALD",EMGRN
300,"GREEN, FOREST",FRTGRN
301,GREY CORD,GRYCRD
302,GRID,GRD
303,GROUND(ING),GRND
304,GUARDIAN,GRDIAN
305,GUMMY BEAR,GMBR
306,HAMSA,HMSA
307,HAND PAINTED,HANPNT
308,HARLEQUIN,HRLQN
309,HAZY,HZY
310,HEALING,HEAL
311,HEALING,HEAL
312,HEALTH,HLTH
313,HEALTH,HLTH
314,HEART,HRT
315,HEART CHAKRA,HRTCHK
316,HECATE,HEC
317,HEMATITE,HEM
318,HEXAGON,HEX
319,HEXAGONAL,HEXG
320,HIBAR,HBR
321,"HOLES, WITH",HOL
322,HOLIDAY SEASON,HLDAY
323,HORIZONTAL,HOR
324,HOT,HOT
325,HYMALAYAN SEA SALT,HYMLYN
326,I INITIATE,INIT
327,ICOSAHEDRON,ICOS
328,INCENSE,INC
329,INDIAN,INDN
330,INK BLUE,INKBLU
331,INTENTION,INT
332,INTENTION GRID,INT-GRD
333,INTO THE MYSTERY,MYSTRY
334,INTUITIVE PICK,INTU
335,IVORY,IVRY
336,JANUARY,JAN
337,JAR,JAR
338,JET,JET
339,JEWEL TONES,JEWLT
340,JEWELRY BOX,JWLBX
341,JOJOBA BEADS,JOJBA
342,JONQUIL,JNQL
343,JULY ,JUL
344,JUNE,JUN
345,KAOLIN,KLN
346,KERNEL,KRN
347,KEY,KEY
348,KISS,KSS
349,KNIFE,KNF
350,KUNZITE,KNZ
351,LABDANUM,LABD
352,LABRADORITE,LAB
353,LAMP,LMP
354,LAPIS,LAP
355,LAVENDER,LVDR
356,LEATHER,LTHR
357,LEMON,LMN
358,LEMON YELLOW,LMNYW
359,LEO,LEO
360,LIBRA,LIB
361,LIBRA BALANCE,LIBBAL
362,"LID, BAMBOO",BMBLID
363,LIGHT,LT
364,LIGHT BLUE,LGBL
365,LIGHT NATURAL,LGNAT
366,LILAC SPARKLE,LLCSPRK
367,LINGAM,LING
368,LIP & TAPE,L&T
369,LOOP NECK,LOOP
370,LOG,LOG
371,LORE,LOR
372,LOTUS,LOT
373,LOVE,LOV
374,LOVE,LVE
375,LOVERS,LVRS
376,LX-16,LX-16
377,LX-20,LX-20
378,LX-22,LX-22
379,MAGDALENE,MAG
380,MAGIC,MAGC
381,MAGICA NOCTA,MAGNCT
382,MALA,MALA
383,"MALA, HEALER",HLMALA
384,"MALA, PEACE",PCMALA
385,MANDALA,MNDL
386,MANDRAKE,MNDRK
387,MANIFESTATION,MANI
388,MANIFESTATION,MFST
389,MANIFESTATION,MNFST
390,MARCH,MAR
391,MARIGOLD,MRGLD
392,MASSAGE,MSGE
393,MATRILINIA,MTRIL
394,MAY,MAY
395,MEADOWFOAM SEED OIL,MDW
396,MEDALLIONS,MEDA
397,MEDICINE SPACE,MEDSP
398,MEDITATION STONE,MEDS
399,MEGAMONEY,MGAMNY
400,MEGH SAMBARA,MEGHS
401,MERKABA,MRK
402,MERMAID,MER
403,METAL MATERIAL,METL
404,METALLIC,MTLC
405,METATRON,META
406,MIGRAINE,MIGR
407,MINI,MINI
408,MIRROR,MIR
409,MOLD,MLD
410,MONEY DRAW,MNYDRW
411,MOON,MN
412,MOON AND STAR,MNST
413,MOON MAIDEN,MOONMD
414,MORGANITE,MRGT
415,MUD,MUD
416,MULTICOLOR,MLTC
417,MUSHROOM(S),MSHRM
418,MYRRH,MYRR
419,MYRTH,MRTH
420,NATURAL,NAT
421,NATURAL CASTILE,NTRLCSTLE
422,NATURAL FLORA,NFLOR
423,NAVY BLUE,NVBLU
424,NEEDLE,NDL
425,NEROLI,NRLI
426,NEW MOON,NWMN
427,NEW MOON,NWMN
428,NICKEL MATERIAL,NICKL
429,NOVEMBER,NOV
430,NUMMITE,NMMT
431,NUNDOORITE,NUND
432,NUT,NUT
433,OBELISK,OBEL
434,OCTAHEDRON,OCTA
435,OCTOBER,OCT
436,OFFERING,OFFER
437,OIL,OIL
438,OLIVE GREEN,OLVGRN
439,OM SYMBOL,OM 
440,OMBRE,OMBR
441,OMBRE BLUE,OMBRBL
442,OPAQUE,OPQ
443,OPOPONAX,OPOP
444,ORACLE CARDS,ORCCRD
445,ORANGE,ORG
446,ORGANIC BAND,ORGBND
447,ORGON,ORGN
448,ORGONITE,ORGO
449,ORNAMENT,ORNMT
450,OUD,OUD
451,OUROBOROS,OURO
452,OVAL,OVL
453,OWL,OWL
454,PACHAMAMA PAPA,PACH
455,PALM SHAPE,PLM
456,PALM STONE,PLMS
457,PALO SANTO,PALO
458,PASSION(ATE),PASS
459,PEACE,PEAC
460,PEACOCK,PCK
461,PEDESTAL,PEDS
462,PENS,PENS
463,PENDANT,PNDT
