id,name,sku,variable,category_id
1,"BAG, FANCY MEDICINE",BAG,FAN-MED,APPAREL
2,"BAG, HAND",BAG,,APPAREL
3,"BAG, MAKEUP",BAG,MKUP,APPAREL
4,"BAG, MEDICINE",BAG,MEDI,APPAREL
5,"BAG, POLTI",BAG,PLTI,APPAREL
6,"BAG, SINGING BOWL",BAG,SING-BWL,APPAREL
7,"BAG, TOTE",BAG,TOT,APPAREL
8,"BAG, TRAVELING",BAG,TRVLG,APPAREL
9,COVERUP,CVRUP,,APPAREL
10,HOODIE,HOOD,,APPAREL
11,SARI,SRI,,APPAREL
12,SCARF,SCA,,APPAREL
13,T-SHIRT,T-SHRT,,APPAREL
14,BALM,BLM,,APPAREL
15,ATHENA'S FAVORITE TATTOOS,TAT,ATH,BODY ART
16,TATTOO,TAT,,BODY ART
17,AURIC,AURC,,CANDLES
18,BEESWAX,BEE,,CANDLES
19,I INITIATE PASSION,INIT,PAS,CANDLES
20,JAR,JAR,,CANDLES
21,"JAR, LONGEST LIGHT INTENTION",JAR,LONLIG,CANDLES
22,"JAR, PYTHIA EMBODIMENT",JAR,PYEMB,CANDLES
23,"JAR, SIGNATURE SMUDGE",JAR,SGSM,CANDLES
24,NEW MOON,NM,,CANDLES
25,QUEEN BEE META,QNB,META,CANDLES
26,ROLLED,RLD,,CANDLES
27,SCARLET MOON,SCRL,MOON,CANDLES
28,TEALIGHT,TLT,,CANDLES
29,THREAD,THRD,,CANDLES
30,"THREAD, METALLIC",THRD,MTLC,CANDLES
31,TRAVEL TIN,TVL,TIN,CANDLES
32,VETIVER & ROSEWOOD,VET,ROSWD,CANDLES
33,VOTIVE,VOT,,CANDLES
34,WHITE SAGE AND PALO SANTO,JAR,WSPALO,CANDLES
35,WICK,WICK,,CANDLES
36,ACTINOLITE,ACT,,CARVING
37,AEGIRINE,AEG,,CARVING
38,AGATE,AGT,,CARVING
39,"AGATE, BAMBOO LEAF",AGT,BMLF,CARVING
40,"AGATE, BLUE",AGT,BLU,CARVING
41,"AGATE, BLUE LACE",AGT,BLCE,CARVING
42,"AGATE, CHEETAH",AGT,CTA,CARVING
43,"AGATE, CHERRY BLOSSOM",AGT,CHYBLM,CARVING
44,"AGATE, CRAZY LACE",AGT,CRZLCE,CARVING
45,"AGATE, DENDRITIC",AGT,DEND,CARVING
46,"AGATE, FANCY",AGT,FNCY,CARVING
47,"AGATE, FIRE",AGT,FRE,CARVING
48,"AGATE, FLOWER ",AGT,FLW,CARVING
49,"AGATE, IRIS",AGT,IRS,CARVING
50,"AGATE, LAGUNA",AGT,LAG,CARVING
51,"AGATE, MOOKAITE",AGT,MOK,CARVING
52,"AGATE, MOSS",AGT,MSS,CARVING
53,"AGATE, PATAGONIAN",AGT,PAT,CARVING
54,"AGATE, PINK",AGT,PNK,CARVING
55,"AGATE, PINK MOSS",AGT,PNKMS,CARVING
56,"AGATE, SEIBER",AGT,SBR,CARVING
57,"AGATE, TREE ",AGT,TRE,CARVING
58,"AGATE, TURITELLA",AGT,TRTLA,CARVING
59,"AGATE, VIOLET FLAME",AGT,VLTFLM,CARVING
60,"AGATE, WHITE",AGT,WHT,CARVING
61,AGATIZED CORAL,CRL,AGTZ,CARVING
62,AMAZONITE,AMZ,,CARVING
63,"AMAZONITE, BLUE",AMZ,BLU,CARVING
64,"AMAZONITE, GREEN",AMZ,YLW,CARVING
65,"AMAZONITE, YELLOW",AMZ,,CARVING
66,AMBER,AMB,,CARVING
67,AMETHYST,AMT,,CARVING
68,"AMETHYST, BANDED",AMT,BNDD,CARVING
69,"AMETHYST, CHEVRON",AMT,CHV,CARVING
70,"AMETHYST, DREAM",AMT,DRM,CARVING
71,"AMETHYST, GREEN (PRASIOLITE)",AMT,GRN,CARVING
72,"AMETHYST, PINK",AMT,PNK,CARVING
73,"AMETHYST, PURPLE RAIN",AMT,PRP,CARVING
74,"AMETHYST, SHANGAAN",AMT,SHN,CARVING
75,"AMETHYST, VERA CRUZ ",AMT,VERCRZ,CARVING
76,"AMETHYST, ZEBRA",AMT,ZBR,CARVING
77,AMMONITE ,AMM,,CARVING
78,AMORINITE,AMRNT,,CARVING
79,ANCESTRALITE,ANS,,CARVING
80,ANGEL,ANG,,CARVING
81,ANGEL AURA,ANG,AUR,CARVING
82,ANGELITE,ANGL,,CARVING
83,"ANHYDRITE, PURPLE",ANH,PUR,CARVING
84,ANTHOPHYLLITE WITH BIOTITE,ATHPLT,BITE,CARVING
85,APATITE,APA,,CARVING
86,"APATITE, BLUE",APA,BLU,CARVING
87,"APATITE, GREEN",APA,GRN,CARVING
88,"APATITE, YELLOW",APA,YLO,CARVING
89,APOPHYLLITE,APO,,CARVING
90,AQUAMARINE,AQA,,CARVING
91,"ARAGONITE, BLUE",ARG,BLU,CARVING
92,"ARAGONITE, BROWN",ARG,BRN,CARVING
93,"ARAGONITE, PINK",ARG,PNK,CARVING
94,"ARAGONITE, WHITE",ARG,WHT,CARVING
95,ARFVEDSONITE,ARF,,CARVING
96,ASSORTMENT,ASST,,CARVING
97,ATLANTISITE (SERPENTINE AND STICHTITE),ATL,,CARVING
98,"AURA, SODALITE",AUR,SDLT,CARVING
99,AURALITE,AUR,,CARVING
100,"AVENTURINE, BLUE",AVN,,CARVING
101,"AVENTURINE, GOLDEN",AVN,GLDN,CARVING
102,"AVENTURINE, GREEN",AVN,GRN,CARVING
103,"AVENTURINE, GREEN/QUARTZ",AVN,GRNQTZ,CARVING
104,"AVENTURINE, GREY",AVN,GRY,CARVING
105,"AVENTURINE, HIMALAYAN RED GOLD",AVN,HMRG,CARVING
106,"AVENTURINE, ORANGE",AVN,ORG,CARVING
107,"AVENTURINE, PEACH",AVN,PCH,CARVING
108,"AVENTURINE, RASPBERRY",AVN,RASPB,CARVING
109,"AVENTURINE, RASPBERRY",AVE,,CARVING
110,"AVENTURINE, RED",AVN,RED,CARVING
111,"AVENTURINE, SILVER",AVN,SILV,CARVING
112,"AVENTURINE, YELLOW",AVN,YLW,CARVING
113,AXINITE,AXN,,CARVING
114,AZEZTULITE,AZE,,CARVING
115,AZURITE,AZU,,CARVING
116,"AZURITE, LAVENDER",AZU,LAV,CARVING
117,BARITE,BAR,,CARVING
118,BERYL ,BRYL,,CARVING
119,"BETA, BLACK",BET,BLK,CARVING
120,BIRD STONE,BRDSTN,,CARVING
121,BLOODSTONE,BLD,,CARVING
122,"BLOODSTONE, AFRICAN",BLD,AFR,CARVING
123,"BLOODSTONE, B",BLD,B,CARVING
124,BRONZITE,BRZ,,CARVING
125,BRONZITE,BRZT,,CARVING
126,BROOKITE,BRK,,CARVING
127,CABACHON,CAB,,CARVING
128,"CACOXENITE, BLACK",CAX,BLK,CARVING
129,CALCITE,CAL,,CARVING
130,"CALCITE, AMBER",CAL,AMB,CARVING
131,"CALCITE, AMBER OPTICAL",CAL,AMBOPT,CARVING
132,"CALCITE, ARGENTIAN BLUE",CAL,AGBLU,CARVING
133,"CALCITE, BLUE",CAL,BLU,CARVING
134,"CALCITE, CITRINE",CAL,CIT,CARVING
135,"CALCITE, COBALTO",CAL,COB,CARVING
136,"CALCITE, HONEY",CAL,HON,CARVING
137,"CALCITE, ICE CUBE",CAL,ICE,CARVING
138,"CALCITE, LEMURIAN BLUE",CAL,LEMBLU,CARVING
139,"CALCITE, MANGANO ",CAL,MNG,CARVING
140,"CALCITE, OPTICAL",CAL,OPT,CARVING
141,"CALCITE, ORANGE",CAL,ORN,CARVING
142,"CALCITE, ORCHID",CAL,ORCH,CARVING
143,"CALCITE, PAKISTANI PINK",CAL,PKSPNK,CARVING
144,"CALCITE, PINK",CAL,PNK,CARVING
145,CANCRONITE,CNR,,CARVING
146,CARNELIAN ,CRN,,CARVING
147,"CARNELIAN, BOTS. ",CRN,BOTS,CARVING
148,CAT'S EYE,CTS,EYE,CARVING
149,CAT'S EYE CHRYSOBERYL,CRY,CTS,CARVING
150,CAVANSITE,CAVN,,CARVING
151,CELESTITE,CLE,,CARVING
152,CERULTIE,CER,,CARVING
153,CHALCEDONY,CHAL,,CARVING
154,"CHALCEDONY, GRAPE",CHAL,GRP,CARVING
155,CHAROITE,CHR,,CARVING
156,CHIASTOLITE,CHI,,CARVING
157,CHRYSANTHEMUM,CHRYS,,CARVING
158,CHRYSOBERYL/CHRYSOLITE,CRY,,CARVING
159,CHRYSOCOLLA,CRS,,CARVING
160,"CHRYSOCOLLA, B",CRS,,CARVING
161,"CHRYSOCOLLA, C",CRS,C,CARVING
162,CHRYSOPRASE,CRSP,,CARVING
163,"CHRYSOPRASE,CHINA",CRSP,CHN,CARVING
164,CIDERITE,CIDR,,CARVING
165,"CIDERITE, YUKON",CIDR,YUK,CARVING
166,CITRINE,CIT,,CARVING
167,"CITRINE, AFRICAN",CIT,AFR,CARVING
168,"CITRINE, B",CIT,B,CARVING
169,"CITRINE, COGNAC",CIT,COG,CARVING
170,"CITRINE, HYDRO",CIT,HYD,CARVING
171,"CITRINE, INDIAN",CIT,IND,CARVING
172,"CITRINE, LEMURIAN",CIT,LEM,CARVING
173,"CITRINE, SMOKY",CIT,SMK,CARVING
174,"CITRINE, ZEBRA",CIT,ZEB,CARVING
175,CLINOHUMITE,CLNO,,CARVING
176,COPPER,COPR,,CARVING
177,"CORAL, RED",CRL,RDD,CARVING
178,CRADLE OF HUMANKIND,COHK,,CARVING
179,CRYSTAL,CRYS,,CARVING
180,CUPRITE,CUP,,CARVING
181,DALMATION,DAL,,CARVING
182,DANBURITE,DNB,,CARVING
183,"DANBURITE, GOLD",DNB,GLD,CARVING
184,DIAMOND,DMD,,CARVING
185,"DIAMOND, HERKIMER",DMD,HRK,CARVING
186,DIOPSIDE,DPS,,CARVING
187,DIOPTASE,DPT,,CARVING
188,DRAGONSTONE,DRG,,CARVING
189,DRAVITE,DRV,,CARVING
190,DUMORTIERITE,DUMT,,CARVING
191,EMERALD,EMRD,,CARVING
192,EPIDOTE,EPD,,CARVING
193,EUDIALYTE,EUD,,CARVING
194,FACETED STONE,FACTD,STNE,CARVING
195,"FELDSPAR, SILVER",FELD,SLV,CARVING
196,FLUORITE,FLU,,CARVING
197,"FLUORITE, CHINA",FLU,CHN,CARVING
198,"FLUORITE, INDIGO",FLU,IND,CARVING
199,"FLUORITE, PINK",FLU,PNK,CARVING
200,"FLUORITE, PURPLE ",FLU,PUR,CARVING
201,"FLUORITE, RAINBOW ",FLU,RNB,CARVING
202,"FLUORITE, TEAL",FLU,TLE,CARVING
203,"FLUORITE, YELLOW ",FLU,YLW,CARVING
204,"FOSSIL, CRINOID",FSL,CRI,CARVING
205,"FOSSIL, SEASHELL",FSL,SSHL,CARVING
206,FUCHSITE,FUCTE,,CARVING
207,GALAXITE,GLX,,CARVING
208,GARNET,GARN,,CARVING
209,GARNET IN MATRIX,GARN,MTX,CARVING
210,"GARNET, ALMANDINE",GARN,ALM,CARVING
211,"GARNET, BLACK (ALSO CALLED MELANITE)",GARN,MEL,CARVING
212,"GARNET, CINNAMON (HESSONITE)",GARN,HES,CARVING
213,"GARNET, GREEN",GARN,GRN,CARVING
214,"GARNET, GREEN/ GROSSULARITE",GARN,GRS,CARVING
215,"GARNET, GREEN/ UVAROVITE",GARN,UVA,CARVING
216,"GARNET, ORANGE",GARN,ORG,CARVING
217,"GARNET, RUBELlITE",GARN,RUB,CARVING
218,GARNIERITE,GAR,,CARVING
219,GENERATOR,GEN,,CARVING
220,GIRASOL,GIR,,CARVING
221,GLASS,GLSS,,CARVING
222,GOETHITE,GOE,,CARVING
223,"GOLDSTONE, ORANGE",GLDST,ORN,CARVING
224,GOSHENITE,GHS,,CARVING
225,GRANDIDIERITE,GRDRTE,,CARVING
226,GUA SHA,GUA,,CARVING
227,HEALERS GOLD,HEAL,GLDN,CARVING
228,HEAMATOID,HMT,,CARVING
229,HELIODOR,HEL,,CARVING
230,HEMATITE,HEM,,CARVING
231,"HEMATITE, MD",HEM,MD,CARVING
232,HEMIMORPHITE,HEMI,,CARVING
233,"HEMIMORPHITE, BLUE",HEMI,BLU,CARVING
234,HERDERITE,HRD,,CARVING
235,HERKIMER,HER,,CARVING
236,"HESSONITE, ORANGE",HES,ORG,CARVING
237,HEULANDITE,HEU,,CARVING
238,"HEULANDITE, GREEN",HEU,GRN,CARVING
239,HIMALAYAN SALT,HYM,SLT,CARVING
240,HOWLITE,HOW,,CARVING
241,HYALITE,HYA,,CARVING
242,HYPERSTHENE,HYP,,CARVING
243,IDOCRASE (VESUVIANITE) (VASONITE),IDO,,CARVING
244,INFINITE,INF,,CARVING
245,IOLITE (CORDIERITE),ILI,,CARVING
246,JADE,JDE,,CARVING
247,"JADE, AFRICAN",JDE,AFR,CARVING
248,"JADE, MARBLED",JDE,MARB,CARVING
249,"JADE, YELLOW",JDE,YLW,CARVING
250,JASPER,JSP,,CARVING
251,"JASPER, BLOODSTONE",JSP,BLD,CARVING
252,"JASPER, BRECCIATED",JSP,BRC,CARVING
253,"JASPER, BUMBLEBEE",JSP,BMB,CARVING
254,"JASPER, GREEN",JSP,GRN,CARVING
255,"JASPER, IBIS",JSP,IBS,CARVING
256,"JASPER, KAMBABA (CROCODILE JASPER)",JSP,KMB,CARVING
257,"JASPER, LEOPARDSKIN",JSP,LEO,CARVING
258,"JASPER, MOOKAITE",JSP,MOK,CARVING
259,"JASPER, NET",JSP,NET,CARVING
260,"JASPER, NOREENA",JSP,NOR,CARVING
261,"JASPER, OCEAN",JSP,OCN,CARVING
262,"JASPER, PICASSO",JSP,PIC,CARVING
263,"JASPER, PICTURE",JSP,PTR,CARVING
264,"JASPER, RAINBOW",JSP,RNBW,CARVING
265,"JASPER, RAINFOREST",JSP,RNF,CARVING
266,"JASPER, RED",JSP,RED,CARVING
267,"JASPER, RHYOLITE",JSP,RHY,CARVING
268,"JASPER, SANSKRIT",JSP,SNSK,CARVING
269,"JASPER, SARDONYX",JSP,SRD,CARVING
270,"JASPER, SILVERLEAF",JSP,SLV,CARVING
271,"JASPER, STAR",JSP,STR,CARVING
272,"JASPER, UNAKITE",JSP,UNK,CARVING
273,"JASPER, YELLOW",JSP,YLW,CARVING
274,"JASPER, ZEBRA",JSP,ZEB,CARVING
275,JEREMEJEVITE,JRM,,CARVING
276,JET,JTT,,CARVING
277,KAMMERERITE,KAM,,CARVING
278,KUNZITE,KNZ,,CARVING
279,KUNZITE (ALSO CALLED HIDDENITE),KNZ,GRN,CARVING
280,KYANITE,KYN,,CARVING
281,"KYANITE, BLACK",KYN,BLK,CARVING
282,"KYANITE, BLUE",KYN,BLU,CARVING
283,"KYANITE, GREEN ",KYN,GRN,CARVING
284,"KYANITE, ORANGE",KYN,ORG,CARVING
285,"KYANITE, RUBY",KYN,RBY,CARVING
286,LABRADORITE,LAB,,CARVING
287,LAMROPHYLLITE,LAM,,CARVING
288,LAPIS,LAP,,CARVING
289,LAPIS LAZULI,LAP,LAZ,CARVING
290,LARIMAR,LAR,,CARVING
291,LARVIKITE,LRV,,CARVING
292,LAVA STONE,LAV,,CARVING
293,LAZURITE,LAZT,,CARVING
294,LEMURIAN ROOT CRYSTALS,LEM,RTCRYS,CARVING
295,LEPIDOCROCITE,LPD,,CARVING
296,LEPIDOLITE ,LEP,,CARVING
297,"LEPIDOLITE, CHINA",LEP,CHN,CARVING
298,"LEPIDOLITE, MUSHROOM (BUBBLE)",LEP,MUS,CARVING
299,LIBYAN DESERT GLASS,LBYN,GLSS,CARVING
300,LIMONITE,LIM,,CARVING
301,LODESTONE,LOD,,CARVING
302,"MAGNESITE, IVORY",MAG,IVY,CARVING
303,MALACHITE,MAL,,CARVING
304,"MALACHITE, STALAKTITE",MAL,STA,CARVING
305,MALACUPRACOLLA,MCC,,CARVING
306,MANDALA,MNDL,,CARVING
307,MARBLED PICASSO,MRPC,,CARVING
308,MARCASITE,MCSTE,,CARVING
309,MERLINITE (CHALCEDONY, INDIGO GABRO),MRL,CARVING
310,MICA,MIC,,CARVING
311,MIMETITE,MIM,,CARVING
312,MIXED STONES,MXS,,CARVING
313,MOLDAVITE,MLD,,CARVING
314,MONTEBRASITE,MNT,,CARVING
315,MOOKAITE,MOOK,,CARVING
316,MOONSTONE,MON,,CARVING
317,"MOONSTONE, B",MON,B,CARVING
318,"MOONSTONE, PEACH",MON,PCH,CARVING
319,"MOONSTONE, RAINBOW",MON,RNB,CARVING
320,"MOONSTONE, SILVER FLASH",MON,SLV,CARVING
321,MORGANITE,MRG,,CARVING
322,MOTHER OF PEARL,MOP,,CARVING
323,MTOROLITE,MTO,,CARVING
324,MUGGLESTONE,MGL,,CARVING
325,NATROLITE,NAT,,CARVING
326,NELLITE,NEL,,CARVING
327,NUUMMITE ,NUM,,CARVING
328,OBSIDIAN,OBS,,CARVING
329,"OBSIDIAN, BLACK",OBS,BLK,CARVING
330,"OBSIDIAN, BLUE",OBS,BLU,CARVING
331,"OBSIDIAN, GOLDEN SHEEN",OBS,GLD,CARVING
