id,name,sku
1,ADJUSTABLE SIZE,ADJST
2,SIZE 5,5
3,SIZE 5.5,5.5
4,SIZE 6,6
5,SIZE 6.5,6.5
6,SIZE 7,7
7,SIZE 7.2,7.2
8,SIZE 7.5,7.5
9,SIZE 8,8
10,SIZE 8.5,8.5
11,SIZE 9,9
12,SIZE 9.25,9.25
13,SIZE 9.5,9.5
14,SIZE 10,10
15,SIZE 8ft,8ft
16,"SIZE 0.25""",0.25
17,"SIZE 0.5""",0.5
18,"SIZE 0.75""",0.75
19,"SIZE 1""",1
20,"SIZE 1.25""",1.25
21,"SIZE 1.5""",1.5
22,"SIZE 1.75""",1.75
23,"SIZE 1.8""",1.8
24,"SIZE 2""",2
25,"SIZE 2.3""",2.3
26,"SIZE 2.5""",2.5
27,"SIZE 2.75""",2.75
28,"SIZE 3""",3
29,"SIZE 3.5""",3.5
30,"SIZE 4""",4
31,"SIZE 4.5""",4.5
32,"SIZE 5""",5
33,"SIZE 5.25""",5.25
34,"SIZE 5.5""",5.5
35,"SIZE 6""",6
36,"SIZE 6.5""",6.5
37,"SIZE 7""",7
38,"SIZE 7.5""",7.5
39,"SIZE 8""",8
40,"SIZE 8.5""",8.5
41,"SIZE 9""",9
42,"SIZE 9.5""",9.5
43,"SIZE 10""",10
44,"SIZE 10.5""",10.5
45,"SIZE 11""",11
46,"SIZE 11.5""",11.5
47,"SIZE 12""",12
48,"SIZE 16""",16
49,"SIZE 18""",18
50,"SIZE 24""",24
51,"SIZE 25""",25
52,"SIZE RANGE 0.25-0.5""",0.25-0.5
53,"SIZE RANGE 0.25-0.75""",0.25-0.75
54,"SIZE RANGE 0.5-1""",0.5-1
55,"SIZE RANGE 0.5-1.5""",0.5-1.5
56,"SIZE RANGE 0.75-1""",0.75-1
57,"SIZE RANGE 1-1.5""",1-1.5
58,"SIZE RANGE 1-1.75""",1-1.75
59,"SIZE RANGE 1.5-2""",1.5-2
60,"SIZE RANGE 1.5-2.5""",1.5-2.5
61,"SIZE RANGE 1.75-2.5""",1.75-2.5
62,"SIZE RANGE 1.75-2""",1.75-2
63,"SIZE RANGE 1.5-3.5""",1.5-3.5
64,"SIZE RANGE 1-2""",1-2
65,"SIZE RANGE 1-3""",1-3
66,"SIZE RANGE 2-2.5""",2-2.5
67,"SIZE RANGE 2-3.5""",2-3.5
68,"SIZE RANGE 2.5-3""",2.5-3
69,"SIZE RANGE 2.5-3.5""",2.5-3.5
70,"SIZE RANGE 2.5-4.5""",2.5-4.5
71,"SIZE RANGE 2.5-5""",2.5-5
72,"SIZE RANGE 2.75-3""",2.75-3
73,"SIZE RANGE 2-3""",2-3
74,"SIZE RANGE 2-4""",2-4
75,"SIZE RANGE 2-4.5""",2-4.5
76,"SIZE RANGE 2-5""",2-5
